target,n_rows,n_schools,R2_before,R2_after,dR2,RMSE_before,RMSE_after,MAE_before,MAE_after
math_avg_grade,3210,908,0.08429936007412317,0.2076338479405499,0.12333448786642673,7.227826865903339,6.7155238556335615,5.655265538065732,5.241627093472841
english_avg_grade,3188,905,0.16025348193602293,0.22014456047256611,0.059891078536543185,5.967094591181626,5.745840596899516,4.527301551348236,4.338663840382407
math_5unit_participation,3546,968,0.050024128454462004,0.21107708419905807,0.16105295574459608,0.10103884870500106,0.09212415271087626,0.08017485457091937,0.06526764503875519
english_5unit_participation,3565,972,0.20858577882441515,0.3908571096509302,0.18227133082651503,0.24285570173026438,0.21309380404730915,0.1900768307615917,0.16051257165158622
