target,model,RMSE,RMSE_std,MAE,R2,R2_std
math_avg_grade,Ridge,6.964606324253646,0.21416514966084624,5.514492722005253,0.149470297045899,0.04518361098286943
math_avg_grade,SGD (linear SVM),6.976938386319894,0.2061257249011633,5.5287828539053905,0.14644144881274007,0.04455297885554708
math_avg_grade,HistGradientBoosting,6.958750428329613,0.4534727555915689,5.381151265711993,0.14548013993655112,0.12806612388182864
math_avg_grade,RandomForest,7.123401271925848,0.4197804132207224,5.489015303738365,0.10764750386350357,0.10516692985303223
english_avg_grade,Ridge,5.924817732620047,0.09043073399745476,4.555523424002154,0.17152244353954466,0.03425576035740808
english_avg_grade,SGD (linear SVM),5.926492256405375,0.10149406120714423,4.552720053281829,0.17100718082962085,0.036450991786809175
english_avg_grade,HistGradientBoosting,6.036930713471365,0.1332946382559816,4.586019863048859,0.1395197451528928,0.047115206959312025
english_avg_grade,RandomForest,6.317112437339505,0.11787316128856754,4.735638328825607,0.058647547836882995,0.029770254122562415
math_5unit_participation,HistGradientBoosting,0.09774468232693516,0.006080943205596936,0.06852482088028329,0.1109202190078273,0.0605819044544678
math_5unit_participation,Ridge,0.09806862377716494,0.00603090821265927,0.0748643088692791,0.10626491694372567,0.03605608658936312
math_5unit_participation,SGD (linear SVM),0.09824132826569967,0.006156866598672267,0.07506373863169172,0.10307013522699104,0.040284497677681
math_5unit_participation,RandomForest,0.1009336659583882,0.008621136367688876,0.06902084531084848,0.04545870919927279,0.15284370794019722
english_5unit_participation,HistGradientBoosting,0.21689929685242149,0.006437948064953052,0.15978879087856318,0.368787879966201,0.0331838519388692
english_5unit_participation,RandomForest,0.22750221748621335,0.007450314756791286,0.16355514024759443,0.30522348941414157,0.04453593748094265
english_5unit_participation,SGD (linear SVM),0.2403571651878858,0.004689881739211737,0.18828483134376678,0.2254234677170439,0.014292225296615755
english_5unit_participation,Ridge,0.24045883720666503,0.004533871558684767,0.18796116464223106,0.2247871696557205,0.012059632890810091
