semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total
240804,2014,ברנקו וייס ק.שמונה,קרית שמונה,קריית שמונה,exact,5.0,0.016,23055.0,,קריית שמונה,,77.7,0.0,0.0,8.0,27.0
240804,2015,ברנקו וייס ק.שמונה,קרית שמונה,קריית שמונה,exact,5.0,0.016,23055.0,,קריית שמונה,66.38,74.36,0.0,0.0,13.0,14.0
240804,2016,ברנקו וייס ק.שמונה,קרית שמונה,קריית שמונה,exact,5.0,0.016,23055.0,,קריית שמונה,62.0,75.19,0.0,0.0,16.0,16.0
240812,2013,ישיבת הזורעים,הזורעים,הזורעים,exact,4.0,-0.381,915.0,310.0,הזורעים,91.8368,87.33333333333333,0.1935483870967742,0.4074074074074074,31.0,27.0
240812,2014,ישיבת הזורעים,הזורעים,הזורעים,exact,4.0,-0.381,915.0,310.0,הזורעים,83.76,85.78571428571429,0.18181818181818182,0.48484848484848486,33.0,33.0
240812,2015,ישיבת הזורעים,הזורעים,הזורעים,exact,4.0,-0.381,915.0,310.0,הזורעים,84.19,85.43599999999999,0.37142857142857144,0.5142857142857142,35.0,35.0
240812,2016,ישיבת הזורעים,הזורעים,הזורעים,exact,4.0,-0.381,915.0,310.0,הזורעים,85.81,86.66566666666668,0.3125,0.36666666666666664,32.0,30.0
240820,2013,נירים,בוסתן הגליל,בוסתן הגליל,exact,8.0,1.174,961.0,310.0,בוסתן הגליל,69.52,,0.0,0.25925925925925924,27.0,27.0
240820,2014,נירים,בוסתן הגליל,בוסתן הגליל,exact,8.0,1.174,961.0,310.0,בוסתן הגליל,72.7,,0.0,0.36363636363636365,20.0,22.0
240820,2015,נירים,בוסתן הגליל,בוסתן הגליל,exact,8.0,1.174,961.0,310.0,בוסתן הגליל,72.0,71.0,0.0,0.3125,18.0,16.0
240820,2016,נירים,בוסתן הגליל,בוסתן הגליל,exact,8.0,1.174,961.0,310.0,בוסתן הגליל,69.79,,0.0,0.42857142857142855,14.0,14.0
240838,2013,"בית רבקה חב""ד",נצרת עילית,נצרת עילית,exact,5.0,0.004,40077.0,,נצרת עילית,,,0.0,0.0,9.0,13.0
240838,2014,"בית רבקה חב""ד",נצרת עילית,נצרת עילית,exact,5.0,0.004,40077.0,,נצרת עילית,85.67,,0.0,0.0,18.0,17.0
240838,2015,"בית רבקה חב""ד",נצרת עילית,נצרת עילית,exact,5.0,0.004,40077.0,,נצרת עילית,83.39,83.5855172413793,0.0,0.0,32.0,29.0
240838,2016,"בית רבקה חב""ד",נצרת עילית,נצרת עילית,exact,5.0,0.004,40077.0,,נצרת עילית,76.21,82.86,0.0,0.0,20.0,14.0
241026,2013,בית יעקב אור רחל,כפר גדעון,כפר גדעון,exact,3.0,-0.538,332.0,310.0,כפר גדעון,,,0.0,0.0,9.0,12.0
241026,2014,בית יעקב אור רחל,כפר גדעון,כפר גדעון,exact,3.0,-0.538,332.0,310.0,כפר גדעון,,,0.0,0.0,9.0,6.0
241026,2015,בית יעקב אור רחל,כפר גדעון,כפר גדעון,exact,3.0,-0.538,332.0,310.0,כפר גדעון,86.89,74.18,0.0,0.0,19.0,16.0
241026,2016,בית יעקב אור רחל,כפר גדעון,כפר גדעון,exact,3.0,-0.538,332.0,310.0,כפר גדעון,,,0.0,0.0,14.0,12.0
241067,2013,"דמוקרטי ע""ש נדב",מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,structural,8.0,1.336,88748.0,,מודיעין-מכבים-רעות*,,,0.0,1.0,6.0,5.0
241067,2014,"דמוקרטי ע""ש נדב",מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,structural,8.0,1.336,88748.0,,מודיעין-מכבים-רעות*,66.83,83.09,0.0,0.5238095238095238,12.0,21.0
241067,2015,"דמוקרטי ע""ש נדב",מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,structural,8.0,1.336,88748.0,,מודיעין-מכבים-רעות*,82.58,88.08,0.0,0.6842105263157895,20.0,19.0
241067,2016,"דמוקרטי ע""ש נדב",מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,structural,8.0,1.336,88748.0,,מודיעין-מכבים-רעות*,93.73,89.19,0.2,0.8076923076923077,25.0,26.0
242073,2013,יגאל אלון,נצרת עילית,נצרת עילית,exact,5.0,0.004,40077.0,,נצרת עילית,79.15993333333333,81.43414364640886,0.14,0.3259668508287293,150.0,181.0
242073,2014,יגאל אלון,נצרת עילית,נצרת עילית,exact,5.0,0.004,40077.0,,נצרת עילית,76.599609375,82.0675167785235,0.1796875,0.348993288590604,128.0,149.0
242073,2015,יגאל אלון,נצרת עילית,נצרת עילית,exact,5.0,0.004,40077.0,,נצרת עילית,81.82566666666666,84.09093167701863,0.23333333333333334,0.34782608695652173,150.0,161.0
242073,2016,יגאל אלון,נצרת עילית,נצרת עילית,exact,5.0,0.004,40077.0,,נצרת עילית,75.9515503875969,80.38877551020408,0.2558139534883721,0.4217687074829932,129.0,147.0
244103,2013,"אמי""ת תורני מדעי",כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,71.09,80.88981818181817,0.14285714285714285,0.2545454545454545,49.0,55.0
244103,2014,"אמי""ת תורני מדעי",כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,76.02527777777777,82.41833333333334,0.0,0.4666666666666667,36.0,45.0
244103,2015,"אמי""ת תורני מדעי",כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,70.55,76.09232558139534,0.0,0.4186046511627907,31.0,43.0
244103,2016,"אמי""ת תורני מדעי",כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,75.88742857142857,82.83903225806452,0.0,0.3684210526315789,35.0,38.0
244111,2013,אולפנת צביה מעלות,מעלות-תרשיחא,מעלות-תרשיחא,exact,5.0,0.022,21180.0,,מעלות-תרשיחא,72.31,89.59074074074073,0.25,0.5,32.0,32.0
