semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total,combined_avg_grade,total_takers,log_population,log_total_takers,iso_outlier,lof_outlier,lof_score,iso_score,outlier_consensus,outlier_any,grand_total,teaching_cost,students,total_budget_per_student,teaching_budget_per_student
380022,2014,מקיף שפיה,מאיר שפיה,מאיר שפיה,exact,1.0,-1.637,317.0,340.0,מאיר שפיה,82.24229885057471,82.79752808988765,0.2528735632183908,0.5280898876404494,87.0,89.0,82.51991347023119,176.0,5.762051382780177,5.176149732573829,True,False,-1.1856511799123592,-0.5947099178106515,False,True,18501470.285610557,4052652.0645000003,634.0,29182.12978802927,6392.19568533123
380022,2015,מקיף שפיה,מאיר שפיה,מאיר שפיה,exact,1.0,-1.637,317.0,340.0,מאיר שפיה,82.15378640776699,83.99135135135135,0.2427184466019417,0.4414414414414414,103.0,111.0,83.07256887955917,214.0,5.762051382780177,5.3706380281276624,True,False,-1.163328014399437,-0.5913222578289052,False,True,18501470.285610557,4052652.0645000003,634.0,29182.12978802927,6392.19568533123
380030,2013,חקלאי פרדס-חנה,פרדס חנה-כרכור,פרדס חנה-כרכור,exact,7.0,0.693,37424.0,,פרדס חנה-כרכור,77.01142857142857,77.51663793103448,0.2040816326530612,0.4310344827586206,98.0,116.0,77.26403325123152,214.0,10.53009420928783,5.3706380281276624,False,False,-1.0696168384061144,-0.4521078907306677,False,False,29191658.710016366,11540216.0162,1413.0,20659.347990103586,8167.173401415428
380030,2014,חקלאי פרדס-חנה,פרדס חנה-כרכור,פרדס חנה-כרכור,exact,7.0,0.693,37424.0,,פרדס חנה-כרכור,75.57295081967213,80.15315789473684,0.1721311475409836,0.3834586466165413,122.0,133.0,77.86305435720448,255.0,10.53009420928783,5.545177444479562,False,False,-0.9800998602975606,-0.436510562944,False,False,29191658.710016366,11540216.0162,1413.0,20659.347990103586,8167.173401415428
380030,2015,חקלאי פרדס-חנה,פרדס חנה-כרכור,פרדס חנה-כרכור,exact,7.0,0.693,37424.0,,פרדס חנה-כרכור,78.63464516129032,80.49682352941176,0.1290322580645161,0.3058823529411765,155.0,170.0,79.56573434535105,325.0,10.53009420928783,5.786897381366708,False,False,-0.9760874042077397,-0.4303391351074699,False,False,29191658.710016366,11540216.0162,1413.0,20659.347990103586,8167.173401415428
380030,2016,חקלאי פרדס-חנה,פרדס חנה-כרכור,פרדס חנה-כרכור,exact,7.0,0.693,37424.0,,פרדס חנה-כרכור,76.96006802721088,78.40260355029586,0.1360544217687075,0.3195266272189349,147.0,169.0,77.68133578875337,316.0,10.53009420928783,5.75890177387728,False,False,-0.998986744837266,-0.4367281273236902,False,False,29191658.710016366,11540216.0162,1413.0,20659.347990103586,8167.173401415428
380048,2013,כפר הנוער הדתי,כפר הנוער הדתי,כפר הנוער הדתי,exact,1.0,-2.403,258.0,340.0,כפר הנוער הדתי,78.31,79.15148936170213,0.0,0.1296296296296296,36.0,54.0,78.73074468085107,90.0,5.556828061699537,4.51085950651685,True,False,-1.0449731856938178,-0.5722878888800823,False,True,15569979.365135027,4060871.7771,330.0,47181.75565192432,12305.672051818183
380048,2014,כפר הנוער הדתי,כפר הנוער הדתי,כפר הנוער הדתי,exact,1.0,-2.403,258.0,340.0,כפר הנוער הדתי,72.69,82.19607843137256,0.0,0.2156862745098039,35.0,51.0,77.44303921568627,86.0,5.556828061699537,4.465908118654584,True,False,-1.0336262851256797,-0.571286881084603,False,True,15569979.365135027,4060871.7771,330.0,47181.75565192432,12305.672051818183
380048,2015,כפר הנוער הדתי,כפר הנוער הדתי,כפר הנוער הדתי,exact,1.0,-2.403,258.0,340.0,כפר הנוער הדתי,78.31,80.80450980392156,0.0,0.3137254901960784,41.0,51.0,79.55725490196079,92.0,5.556828061699537,4.532599493153256,True,False,-1.0380530338669212,-0.5755073751329742,False,True,15569979.365135027,4060871.7771,330.0,47181.75565192432,12305.672051818183
380048,2016,כפר הנוער הדתי,כפר הנוער הדתי,כפר הנוער הדתי,exact,1.0,-2.403,258.0,340.0,כפר הנוער הדתי,74.53063829787233,83.62981481481482,0.0,0.4074074074074074,47.0,54.0,79.08022655634358,101.0,5.556828061699537,4.624972813284271,True,False,-1.0667786117295863,-0.5818462003455387,False,True,15569979.365135027,4060871.7771,330.0,47181.75565192432,12305.672051818183
380055,2013,כפר גלים,כפר גלים,כפר גלים,exact,2.0,-0.897,294.0,340.0,כפר גלים,75.5,82.44423076923077,0.1428571428571428,0.25,42.0,52.0,78.97211538461539,94.0,5.68697535633982,4.553876891600541,False,False,-1.1312181466940598,-0.5023052736484266,False,False,17891886.63411902,7504106.003699999,740.0,24178.225181241916,10140.683788783783
380055,2014,כפר גלים,כפר גלים,כפר גלים,exact,2.0,-0.897,294.0,340.0,כפר גלים,81.77,80.73508771929824,0.0,0.2807017543859649,39.0,57.0,81.25254385964911,96.0,5.68697535633982,4.574710978503383,False,False,-1.0701607836043143,-0.485074335400231,False,False,17891886.63411902,7504106.003699999,740.0,24178.225181241916,10140.683788783783
380055,2015,כפר גלים,כפר גלים,כפר גלים,exact,2.0,-0.897,294.0,340.0,כפר גלים,68.74,76.85799999999999,0.0,0.2222222222222222,33.0,45.0,72.79899999999999,78.0,5.68697535633982,4.3694478524670215,False,False,-1.0284512787825713,-0.4937981984292757,False,False,17891886.63411902,7504106.003699999,740.0,24178.225181241916,10140.683788783783
380055,2016,כפר גלים,כפר גלים,כפר גלים,exact,2.0,-0.897,294.0,340.0,כפר גלים,79.71447761194028,83.040625,0.0694444444444444,0.3625,72.0,80.0,81.37755130597014,152.0,5.68697535633982,5.030437921392435,False,False,-1.0321586697344105,-0.4994077911130181,False,False,17891886.63411902,7504106.003699999,740.0,24178.225181241916,10140.683788783783
384008,2014,עתיד קרית מוצקין,קרית מוצקין,קריית מוצקין,exact,7.0,0.566,40160.0,,קריית מוצקין,,76.06,0.0,0.0,10.0,16.0,76.06,26.0,10.600651654454008,3.295836866004329,False,False,-1.0204846128553755,-0.46765218591857,False,False,6431519.486832891,0.0,179.0,35930.27646275358,0.0
384008,2015,עתיד קרית מוצקין,קרית מוצקין,קריית מוצקין,exact,7.0,0.566,40160.0,,קריית מוצקין,64.08,71.2,0.0,0.0,25.0,35.0,67.64,60.0,10.600651654454008,4.110873864173311,False,False,-1.0326429761105853,-0.4714123019443891,False,False,6431519.486832891,0.0,179.0,35930.27646275358,0.0
384008,2016,עתיד קרית מוצקין,קרית מוצקין,קריית מוצקין,exact,7.0,0.566,40160.0,,קריית מוצקין,68.25,70.56,0.0,0.0,20.0,36.0,69.405,56.0,10.600651654454008,4.04305126783455,False,False,-1.0151958064263251,-0.4629922180212028,False,False,6431519.486832891,0.0,179.0,35930.27646275358,0.0
384016,2013,תיכון עיוני עתיד,כפר קרע,כפר קרע,exact,4.0,-0.315,17640.0,,כפר קרע,80.4,81.08,0.0,0.0,15.0,12.0,80.74000000000001,27.0,9.777981017296408,3.332204510175204,False,False,-1.0086687713250044,-0.4516853763434874,False,False,8956461.206346277,4296753.0306,534.0,16772.399262820745,8046.353989887641
384016,2014,תיכון עיוני עתיד,כפר קרע,כפר קרע,exact,4.0,-0.315,17640.0,,כפר קרע,84.9270731707317,85.21,0.0,0.1951219512195122,41.0,41.0,85.06853658536585,82.0,9.777981017296408,4.418840607796598,False,False,-1.036201319047061,-0.4334958624392444,False,False,8956461.206346277,4296753.0306,534.0,16772.399262820745,8046.353989887641
384016,2015,תיכון עיוני עתיד,כפר קרע,כפר קרע,exact,4.0,-0.315,17640.0,,כפר קרע,81.69943396226415,89.17999999999999,0.0,0.4285714285714285,53.0,56.0,85.43971698113208,109.0,9.777981017296408,4.700480365792417,False,False,-1.0151226821942436,-0.4408807209714189,False,False,8956461.206346277,4296753.0306,534.0,16772.399262820745,8046.353989887641
384016,2016,תיכון עיוני עתיד,כפר קרע,כפר קרע,exact,4.0,-0.315,17640.0,,כפר קרע,87.95447761194029,91.28388059701491,0.2238805970149253,0.6567164179104478,67.0,67.0,89.61917910447761,134.0,9.777981017296408,4.90527477843843,False,False,-1.0488503458809704,-0.4927456892602311,False,False,8956461.206346277,4296753.0306,534.0,16772.399262820745,8046.353989887641
410001,2013,תיכון אלעולא,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,64.39,77.0235135135135,0.0,0.2127659574468085,40.0,47.0,70.70675675675676,87.0,11.192430902771898,4.477336814478207,False,False,-1.008714421357519,-0.4298408285734791,False,False,4396757.406576812,0.0,368.0,11947.710343958728,0.0
410001,2014,תיכון אלעולא,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,73.45,80.39,0.0,0.2222222222222222,42.0,54.0,76.92,96.0,11.192430902771898,4.574710978503383,False,False,-0.9834475125185592,-0.4154350466823266,False,False,4396757.406576812,0.0,368.0,11947.710343958728,0.0
410001,2015,תיכון אלעולא,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,67.69,69.35,0.0,0.131578947368421,35.0,38.0,68.52,73.0,11.192430902771898,4.30406509320417,False,False,-1.003270161665376,-0.442311921281877,False,False,4396757.406576812,0.0,368.0,11947.710343958728,0.0
410001,2016,תיכון אלעולא,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,73.91,78.63070175438597,0.0,0.3684210526315789,53.0,57.0,76.27035087719298,110.0,11.192430902771898,4.709530201312334,False,False,-1.0380470138547784,-0.4246035604658971,False,False,4396757.406576812,0.0,368.0,11947.710343958728,0.0
410076,2015,אולפנת-לבנות ולהבנות,יבנה,יבנה,exact,7.0,0.554,42314.0,,יבנה,88.71897435897436,77.52529411764705,0.0,0.1904761904761904,39.0,42.0,83.12213423831071,81.0,10.652896912104206,4.406719247264253,False,False,-1.0083672739109704,-0.4351784763782647,False,False,4979893.227958883,2035456.7217,163.0,30551.492196066767,12487.46455030675
410076,2016,אולפנת-לבנות ולהבנות,יבנה,יבנה,exact,7.0,0.554,42314.0,,יבנה,89.82,85.61999999999999,0.1724137931034483,0.3103448275862069,29.0,29.0,87.72,58.0,10.652896912104206,4.07753744390572,False,False,-1.2629197147870068,-0.47214052685353,False,False,4979893.227958883,2035456.7217,163.0,30551.492196066767,12487.46455030675
417204,2013,תיכון להנדסה ולמדע,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,75.67000000000002,72.90984615384615,0.0,0.0,57.0,65.0,74.28992307692309,122.0,11.192430902771898,4.812184355372417,False,False,-1.0052723323248591,-0.4307407435054793,False,False,16015138.03353135,7713935.106000001,973.0,16459.545769302516,7927.990859198356
417204,2014,תיכון להנדסה ולמדע,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,72.47,69.38727272727273,0.0,0.0,76.0,88.0,70.92863636363637,164.0,11.192430902771898,5.10594547390058,False,False,-1.011806481388617,-0.4405887088664865,False,False,16015138.03353135,7713935.106000001,973.0,16459.545769302516,7927.990859198356
417204,2015,תיכון להנדסה ולמדע,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,68.65,66.67508474576272,0.0,0.0,52.0,59.0,67.66254237288136,111.0,11.192430902771898,4.718498871295094,False,False,-1.0058399766940938,-0.4503214286368891,False,False,16015138.03353135,7713935.106000001,973.0,16459.545769302516,7927.990859198356
417204,2016,תיכון להנדסה ולמדע,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,65.52,65.59304347826087,0.0,0.1038961038961039,70.0,77.0,65.55652173913043,147.0,11.192430902771898,4.997212273764115,False,False,-1.0063059767793046,-0.4676129669681806,False,False,16015138.03353135,7713935.106000001,973.0,16459.545769302516,7927.990859198356
420018,2016,על יסודי צור הדסה,צור הדסה,צור הדסה,exact,8.0,1.233,7392.0,180.0,צור הדסה,84.41357142857143,85.70524590163936,0.081967213114754,0.6721311475409836,61.0,61.0,85.0594086651054,122.0,8.9082888855571,4.812184355372417,False,False,-1.2371125720404743,-0.4885434478489268,False,False,10274974.06356085,5577889.4694,489.0,21012.216898897444,11406.726931288344
420026,2014,ישיבת מערב שומרון,אלקנה,אלקנה,exact,7.0,0.863,3945.0,,אלקנה,,85.07000000000001,0.2631578947368421,0.6666666666666666,19.0,21.0,85.07000000000001,40.0,8.28045768658256,3.713572066704308,False,False,-1.1197404786616691,-0.5333824462046752,False,False,5414081.765856371,2879034.9885,316.0,17133.1701451151,9110.870216772151
420026,2015,ישיבת מערב שומרון,אלקנה,אלקנה,exact,7.0,0.863,3945.0,,אלקנה,81.68,82.52,0.1388888888888889,0.5675675675675675,36.0,37.0,82.1,73.0,8.28045768658256,4.30406509320417,False,False,-1.076474815236902,-0.4707707910668572,False,False,5414081.765856371,2879034.9885,316.0,17133.1701451151,9110.870216772151
420026,2016,ישיבת מערב שומרון,אלקנה,אלקנה,exact,7.0,0.863,3945.0,,אלקנה,81.45374999999999,87.91432432432433,0.3,0.5227272727272727,40.0,44.0,84.68403716216216,84.0,8.28045768658256,4.442651256490317,False,False,-1.1183778136046634,-0.5105238378698493,False,False,5414081.765856371,2879034.9885,316.0,17133.1701451151,9110.870216772151
420372,2013,טומשין הבית של תמר,משמר השרון,משמר השרון,exact,7.0,0.7,552.0,330.0,משמר השרון,84.28,79.61999999999999,0.0,0.2692307692307692,18.0,26.0,81.94999999999999,44.0,6.315358001522335,3.80666248977032,False,False,-1.0734121964427272,-0.511788325895997,False,False,7267056.84,0.0,0.0,,
420372,2014,טומשין הבית של תמר,משמר השרון,משמר השרון,exact,7.0,0.7,552.0,330.0,משמר השרון,84.29,81.09,0.0,0.0,24.0,29.0,82.69,53.0,6.315358001522335,3.9889840465642745,False,False,-1.1453947160103124,-0.5251551666714013,False,False,7267056.84,0.0,0.0,,
420372,2015,טומשין הבית של תמר,משמר השרון,משמר השרון,exact,7.0,0.7,552.0,330.0,משמר השרון,84.21,84.19,0.0,0.28125,28.0,32.0,84.19999999999999,60.0,6.315358001522335,4.110873864173311,False,False,-1.0725909331338568,-0.5035276481303927,False,False,7267056.84,0.0,0.0,,
420372,2016,טומשין הבית של תמר,משמר השרון,משמר השרון,exact,7.0,0.7,552.0,330.0,משמר השרון,82.53,,0.0,0.4375,17.0,16.0,82.53,33.0,6.315358001522335,3.5263605246161616,False,False,-1.128790106836547,-0.5203690233461047,False,False,7267056.84,0.0,0.0,,
420489,2013,"מקיף י""א",ראשון לציון,ראשון לציון,exact,7.0,0.847,243329.0,,ראשון לציון,81.22393700787401,83.40984848484848,0.2204724409448819,0.4469696969696969,127.0,132.0,82.31689274636125,259.0,12.4021738257325,5.560681631015528,False,False,-1.0663671232856753,-0.4418749788728676,False,False,21440638.355121627,9086662.4042,1174.0,18262.894680682817,7739.91686899489
420489,2014,"מקיף י""א",ראשון לציון,ראשון לציון,exact,7.0,0.847,243329.0,,ראשון לציון,77.81020134228189,81.96873333333335,0.1812080536912751,0.62,149.0,150.0,79.88946733780762,299.0,12.4021738257325,5.703782474656201,False,False,-1.038416096213558,-0.4452956474317329,False,False,21440638.355121627,9086662.4042,1174.0,18262.894680682817,7739.91686899489
420489,2015,"מקיף י""א",ראשון לציון,ראשון לציון,exact,7.0,0.847,243329.0,,ראשון לציון,77.7456953642384,81.41664516129032,0.119205298013245,0.4903225806451612,151.0,155.0,79.58117026276436,306.0,12.4021738257325,5.726847747587197,False,False,-0.9836958974892174,-0.436094156456296,False,False,21440638.355121627,9086662.4042,1174.0,18262.894680682817,7739.91686899489
420489,2016,"מקיף י""א",ראשון לציון,ראשון לציון,exact,7.0,0.847,243329.0,,ראשון לציון,78.13783625730994,80.73476470588236,0.2222222222222222,0.6294117647058823,171.0,170.0,79.43630048159615,341.0,12.4021738257325,5.834810737062605,False,False,-1.0135755957930783,-0.458034929697255,False,False,21440638.355121627,9086662.4042,1174.0,18262.894680682817,7739.91686899489
420497,2016,אבדאע,יפיע,יפיע,exact,3.0,-0.823,18234.0,,יפיע,,,0.0,0.0,8.0,10.0,,18.0,9.81109810324278,2.9444389791664403,False,False,,,False,False,5874877.341399999,4652855.756199999,0.0,,
