target,model,RMSE,RMSE_std,MAE,R2,R2_std
math_avg_grade,HistGradientBoosting,7.366731516145519,0.2794798001564218,5.788077500850553,0.04839552829112224,0.015601824395818024
math_avg_grade,Ridge,7.426410339789304,0.32434461510162965,5.92863805899232,0.033394941468586084,0.016520095211645755
math_avg_grade,SGD (linear SVM),7.436995229705954,0.3237010703120646,5.936178208724124,0.030617241047003585,0.01700999862439189
math_avg_grade,RandomForest,7.7268756960432174,0.21515403714716702,6.0688918862470915,-0.04911890185024777,0.05992087742356903
english_avg_grade,SGD (linear SVM),6.202106018574861,0.21749921730418093,4.777326227748314,0.08702123787657043,0.035367080327323865
english_avg_grade,Ridge,6.2077415473620965,0.2137038592629902,4.778870699734524,0.08528212964257545,0.036462777867050766
english_avg_grade,HistGradientBoosting,6.26857120714992,0.274922794578069,4.726515781694465,0.06856828386279194,0.016286732934071964
english_avg_grade,RandomForest,6.565623265283873,0.29101527451206033,4.95445977799601,-0.022417822777741802,0.0426645684949479
math_5unit_participation,Ridge,0.10115257967132751,0.006959010090115995,0.08053519547498679,0.04799892897887581,0.010817313126310896
math_5unit_participation,SGD (linear SVM),0.10120807181701297,0.006956357985704027,0.08055521046196058,0.0469339100275233,0.012212079058267327
math_5unit_participation,HistGradientBoosting,0.10666247670925633,0.0067645961392473865,0.08307996431152088,-0.059909888695983106,0.040107624098934494
math_5unit_participation,RandomForest,0.11223533332164026,0.0053124807096799785,0.08628232060408322,-0.17664484819348125,0.06560133898536756
english_5unit_participation,SGD (linear SVM),0.2564059160553775,0.008992669460492113,0.20485554985832838,0.11902661347114216,0.03886857040099613
english_5unit_participation,Ridge,0.25652610830138717,0.00893407809358239,0.20468199507773757,0.11822513300585065,0.03802743180439304
english_5unit_participation,HistGradientBoosting,0.2600064469165198,0.010807746721060541,0.20450143326815273,0.09212988530390578,0.07788677458636292
english_5unit_participation,RandomForest,0.2713365278432138,0.010547120405266052,0.21296437831637674,0.010708525425450154,0.0900408526856494
